cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
realtime dashboard,26,0,0,['javascript ruby'],0
realtime server metric,6,0,0,['css ruby'],0
angular application,30,0,0,['css shell'],0
dream,29,0,0,['objective-c shell'],0
simple graph drawing,4,0,0,['c++ css'],0
binding,34,0,0,['javascript python'],0
apple,20,0,0,['css shell'],0
simple prebuilt application,37,0,0,['css javascript'],0
source event analytics platform,14,0,0,['css shell'],0
remote preview large number mobile device,3,0,0,['css php'],0
acceptance native,35,0,0,['c ruby'],0
seamless custom action android application,46,0,0,['java shell'],0
service personal phimpme,6,0,0,['css javascript'],0
project,5,0,0,['javascript ruby'],0
documentation developer source issue tracker submit request social service,15,0,0,['javascript ruby'],0
source writing,14,0,0,['css javascript'],0
issue tracker,15,0,0,['css ruby'],0
trojan horse author,15,0,0,['css shell'],0
parallax uiscrollview uitableviews parallax scrollview tableview header,15,0,0,['c ruby'],0
learning algorithm,4,0,0,['c++ shell'],0
facebook realtime apache hadoop append,4,0,0,['python shell'],0
pythonjs development,21,0,0,['javascript perl'],0
official repository,38,0,0,['objective-c shell'],0
sample autofac,39,0,0,['css javascript'],0
small functional language,7,0,0,['css shell'],0
jailbroken iphones,0,0,0,['c++ objective-c'],0
beautiful ember,16,0,0,['css ruby'],0
visualizer,36,0,0,['coffeescript css'],0
original emulator animation specification animation,3,0,0,['css shell'],0
lightweight framework composable design,6,0,0,['javascript shell'],0
client,17,0,0,['perl shell'],0
refresh button progress indicator,46,0,0,['groovy shell'],0
audiolib powerful audio library,7,0,0,['coffeescript css'],0
sandbox project,5,0,0,['groovy shell'],0
unistroke recognizer dollar gesture recognizer,6,0,0,['c javascript'],0
opengl camera filter,6,0,0,['c ruby'],0
blinkdb approximate query large,3,0,0,['css shell'],0
framework application,37,0,0,['javascript ruby'],0
tesseract,18,0,0,['c objective-c'],0
android framework application,37,0,0,['c++ objective-c'],0
uikit dynamic runtime visualisation introspection library,4,0,0,['c++ ruby'],0
berkeley release,22,0,0,['objective-c shell'],0
value,4,0,0,['python shell'],0
framework,12,0,0,['css shell'],0
searchable database,46,0,0,['css shell'],0
orchestration layer system diagram provision openstack,7,0,0,['javascript shell'],0
source email client,17,0,0,['c javascript'],0
javascriptbridge javascriptcore framework,2,0,0,['javascript ruby'],0
transition,40,0,0,['css php'],0
effective hadoop micro script terabyte scale,15,0,0,['python shell'],0
source original taskpaper,14,0,0,['perl shell'],0
npapi plugin expose device,3,0,0,['python shell'],0
theme option framework fluent framework fluent framework,12,0,0,['css javascript'],0
small compatibility layer backbone django tastypie,7,0,0,['css python'],0
clone panic status board,4,0,0,['css javascript'],0
jsperf source,14,0,0,['php shell'],0
graphic engine,6,0,0,['c++ shell'],0
library,13,0,0,['coffeescript css'],0
eksperter landsbyen,46,0,0,['c objective-c'],0
example parisi webgl,4,0,0,['css php'],0
pattern module responsive email,15,0,0,['javascript ruby'],0
github,25,0,0,['c++ shell'],0
library target local worker,15,0,0,['css shell'],0
development environment,21,0,0,['objective-c shell'],0
default jquery mobile,4,0,0,['javascript ruby'],0
flask template,15,0,0,['javascript python'],0
sketch plugins developer,15,0,0,['css javascript'],0
library parallax effect screen,15,0,0,['c ruby'],0
automation acceptance,15,0,0,['ruby shell'],0
paste,8,0,0,['php shell'],0
reprap printer similar device,4,0,0,['c python'],0
insert theme,15,0,0,['groovy shell'],0
presentation material,15,0,0,['c css'],0
terminal plugin quick access terminal window quake style,4,0,0,['c c++'],0
simple virtual console,4,0,0,['java shell'],0
webgl graphic library,4,0,0,['python shell'],0
private openssl vulnerability,15,0,0,['javascript python'],0
engine lightweight comet server support server module,6,0,0,['c++ shell'],0
language,19,0,0,['c++ shell'],0
kernel driver example exploit public technique,15,0,0,['c objective-c'],0
ember,16,0,0,['ruby shell'],0
wrapper native,35,0,0,['javascript ruby'],0
hacker minimalistic,15,0,0,['css javascript'],0
science,42,0,0,['ruby shell'],0
visualization,47,0,0,['css shell'],0
developer network bonjour,15,0,0,['c ruby'],0
control presentation,15,0,0,['css php'],0
navigation viewer,15,0,0,['c ruby'],0
powerful framework,12,0,0,['perl shell'],0
dynamic dalvik instrumentation toolkit,46,0,0,['java shell'],0
wrapper iphone simulator binary,15,0,0,['c shell'],0
opengl iphone tutorial,6,0,0,['c objective-c'],0
toaster accessory sample,4,0,0,['c c++'],0
,15,0,0,['coffeescript css'],0
iphone controller control music playback,6,0,0,['css ruby'],0
slick visualization source,14,0,0,['python shell'],0
simple basic usage animation framework,4,0,0,['c++ objective-c'],0
reference release objective,15,0,0,['c python'],0
steganography service,15,0,0,['css python'],0
masonry layout,32,0,0,['css shell'],0
django integration,15,0,0,['groovy shell'],0
beautiful color,6,0,0,['ruby shell'],0
netgrafio visualize,15,0,0,['css python'],0
runtime interface,7,0,0,['css shell'],0
browser,23,0,0,['css shell'],0
management application wordpress manager,46,0,0,['javascript perl'],0
github smarty readme,25,0,0,['javascript shell'],0
static generator,10,0,0,['css javascript'],0
