id,subjects,processed_text,language_combinations,description
3065454,"['presentation', 'framework', 'transforms', 'modern', 'browser', 'prezi']","['presentation', 'framework', 'based', 'power', 'transforms', 'transition', 'modern', 'browser', 'inspired', 'behind', 'prezi']",['css html'],it s a presentation framework based on the power of css transforms and transitions in modern browsers and inspired by the idea behind prezi com
29268051,"['material', 'design', 'component']","['material', 'design', 'component']",['css javascript'],material design components in html and css and js
58836534,"['firework', 'interactive', 'online', 'platform', 'visualizes', 'algorithm']","['firework', 'interactive', 'online', 'platform', 'visualizes', 'algorithm']",['html java'],fireworks interactive online platform that visualizes algorithms from code
75830968,"['learning', 'chinese', 'translation']","['learning', 'chinese', 'translation']",['makefile python shell'],deep learning book chinese translation
1844251,['framework'],"['helping', 'select', 'framework', 'react', 'ember']",['css html shell'],helping you select an mv framework todo apps for react ember and many more
25315643,"['extensible', 'desktop', 'modern']","['extensible', 'desktop', 'built', 'modern', 'welcome']",['html python shell'],an extensible desktop mail app built on the modern web forks welcome
11620669,['application'],"['codehub', 'application', 'written', 'using', 'xamarin']",['css html'],codehub is an ios application written using xamarin
15585444,['modify'],"['collection', 'powered', 'hover', 'effect', 'applied', 'featured', 'image', 'easily', 'apply', 'modify', 'inspiration', 'available']",['html javascript'],a collection of css powered hover effects to be applied to featured images and so on easily apply to your own modify or just use for inspiration available in and less
28751632,"['linux', 'kernel']","['little', 'linux', 'kernel']",['dockerfile shell'],a little bit about a linux kernel
72907253,"['spring', 'example', 'spring']","['learning', 'spring', 'example', 'spring']",['css dockerfile html'],about learning spring boot via examples spring boot
9603240,"['responsive', 'module', 'project']","['responsive', 'module', 'every', 'project']",['css javascript'],a set of responsive css modules that you can use in every web project
24635156,"['beautiful', 'replacement']","['beautiful', 'replacement', 'alert']",['css html javascript'],a beautiful replacement for javascript s alert
12244426,['progress'],['progress'],['css html'],for slim progress bars like on etc
32665718,"['terminal', 'emulator', 'century']","['terminal', 'emulator', 'century']",['dockerfile html'],a terminal emulator for the st century
1580851,"['image', 'gallery']","['image', 'gallery', 'mobile', 'framework', 'independent']",['css html'],javascript image gallery for mobile and framework independent
18347476,"['google', 'android']","['google', 'android']",['java shell'],the google i and o android app
18511024,"['starter', 'multi', 'device', 'website']","['starter', 'workflow', 'multi', 'device', 'website']",['css javascript'],web starter kit a workflow for multi device websites
133251103,"['docker', 'image']","['exploring', 'layer', 'docker', 'image']",['makefile shell'],a tool for exploring each layer in a docker image
29749635,"['science', 'notebook', 'learning', 'scikit', 'hadoop', 'various', 'command']","['science', 'notebook', 'learning', 'scikit', 'hadoop', 'various', 'command']",['dockerfile makefile'],data science python notebooks deep learning keras scikit big data hadoop hdfs python and various command lines
3428345,"['click', 'delay', 'touch']","['polyfill', 'remove', 'click', 'delay', 'browser', 'touch']",['javascript makefile'],polyfill to remove click delays on browsers with touch uis
51728141,"['mobile', 'component']","['mobile', 'component', 'based']",['css html javascript shell'],mobile ui components based on vue weui
18611173,['animation'],"['accelerated', 'animation']",['css html'],accelerated javascript animation
24186761,"['pleasant', 'android', 'application', 'development']","['pleasant', 'android', 'application', 'development']",['html java'],pleasant android application development
6256729,"['frontend', 'knowledge', 'structure']","['frontend', 'knowledge', 'structure']",['css html makefile'],frontend knowledge structure
21234201,"['motion', 'graphic', 'toolbelt']","['motion', 'graphic', 'toolbelt']",['css html'],the motion graphics toolbelt for the web
69953445,['mybatis'],"['spring', 'springmvc', 'mybatis']",['css html javascript shell'],spring and springmvc and mybatis jee
6094683,"['project', 'status', 'native', 'angularjs', 'angular', 'directive', 'footprint', 'party', 'dependency', 'bootstrap', 'readme']","['please', 'project', 'status', 'native', 'angularjs', 'angular', 'directive', 'bootstrap', 'smaller', 'footprint', 'gzipped', 'party', 'dependency', 'bootstrap', 'required', 'please', 'readme', 'submitting', 'issue']",['css html'],please read the project status below native angularjs angular directives for bootstrap smaller footprint kb gzipped no rd party js dependencies bootstrap js required please read the readme md file before submitting an issue
8538132,"['design', 'framework', 'functional', 'framework']","['design', 'framework', 'based', 'functional', 'framework', 'simplifies', 'development', 'website']",['html javascript'],flat ui free design framework html and css and less and js flat ui is based on a and functional framework that simplifies the development of websites
5448530,"['mobile', 'component']","['build', 'mobile', 'simple', 'component']",['html javascript'],build mobile apps with simple and javascript components
619849,"['ultimate', 'distribution']","['ultimate', 'distribution']",['batchfile shell'],the ultimate vim distribution
1381283,"['precision', 'color', 'multiple', 'application', 'light']","['precision', 'color', 'multiple', 'application', 'light']",['html python shell'],precision color scheme for multiple applications etc with both dark and light modes
103645588,"['admin', 'management', 'system', 'template']","['admin', 'management', 'system', 'template', 'based', 'iview']",['css html javascript'],vue admin management system template based on iview
17066884,"['powerful', 'spider', 'crawler', 'system']","['powerful', 'spider', 'crawler', 'system']",['dockerfile html javascript'],a powerful spider web crawler system in python
45147841,"['bundle', 'optimizer']","['bundle', 'optimizer']",['css html shell'],a javascript bundle optimizer
28513398,"['simplify', 'animation']","['library', 'simplify', 'animation']",['objective-c ruby'],a library to simplify ios animations in swift
40808571,['application'],"['share', 'terminal', 'application']",['html javascript makefile'],share your terminal as a web application
22607013,"['modular', 'front', 'framework']","['amaze', 'mobile', 'first', 'modular', 'front', 'framework']",['css html'],amaze a mobile first and modular front end framework
21265042,"['smooth', 'asynchronous', 'interface']","['smooth', 'asynchronous', 'interface']",['ruby shell'],smooth asynchronous user interfaces for ios apps
