cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
source library,4,0,0,['c c++'],0
iphone wireframes,49,0,0,['c ruby'],0
utility command service transform objective,2,0,0,['perl shell'],0
github,5,0,0,['javascript perl'],0
detection library device browser central database browser information,32,0,0,['perl shell'],0
library,6,0,0,['c ruby'],0
hybrid,12,0,0,['ruby shell'],0
quora,36,0,0,['ruby shell'],0
backends,25,0,0,['c javascript'],0
cocosd android cocosd iphone googlecode address google cocosd android,2,0,0,['perl shell'],0
preference application,44,0,0,['c objective-c'],0
spritemap generator,32,0,0,['python shell'],0
certificate authority system,2,0,0,['python shell'],0
objective addition,23,0,0,['c ruby'],0
interception framework,1,0,0,['perl shell'],0
visit github lastfm iphone,2,0,0,['c c++'],0
cocoa documentation viewer,2,0,0,['javascript objective-c'],0
library,6,0,0,['c objective-c'],0
server component clutch framework,18,0,0,['python shell'],0
wolfenstein enemy territory source release,2,0,0,['perl shell'],0
redmine contact jeanbaptiste barth gmail,32,0,0,['php python'],0
modular street address geocoder,2,0,0,['ruby shell'],0
reader,14,0,0,['c javascript'],0
different github timeline,2,0,0,['javascript ruby'],0
cocoa,9,0,0,['c c++'],0
library adobe flash player basic chart complex interactive toolkit support visual interaction technique,2,0,0,['python shell'],0
great framework shootout techempower benchmark,1,0,0,['python ruby'],0
project showcase different transport format consume service application,18,0,0,['c c++'],0
memory allocator,32,0,0,['perl shell'],0
comet server message queue application interface,18,0,0,['python shell'],0
unofficial mirror library,32,0,0,['c c++'],0
github github,5,0,0,['python shell'],0
weekly screencast series titanium development topic,2,0,0,['java python'],0
study material certification insider knowledge actual content brain meaningful preparation,2,0,0,['javascript shell'],0
debianization patch,32,0,0,['perl shell'],0
saurik prebuilt binary,32,0,0,['c shell'],0
zeromq philosophy,46,0,0,['python ruby'],0
saurik substrate,32,0,0,['c objective-c'],0
exists compliance cloudstack development cloudstack apache,2,0,0,['perl shell'],0
source engine,8,0,0,['objective-c shell'],0
server aggregation engine,18,0,0,['ruby shell'],0
example project,18,0,0,['c objective-c'],0
visualization,20,0,0,['c c++'],0
github,5,0,0,['javascript shell'],0
