combo_id,combination,count,distribution
0,javascript shell,42,0.0626865671641791
1,python shell,35,0.05223880597014925
2,c shell,34,0.050746268656716415
3,perl shell,29,0.04328358208955224
4,c++ shell,23,0.034328358208955224
5,c c++,22,0.03283582089552239
6,ruby shell,22,0.03283582089552239
7,javascript perl,20,0.029850746268656716
8,objective-c shell,20,0.029850746268656716
9,c javascript,19,0.028358208955223882
10,c objective-c,19,0.028358208955223882
11,javascript perl shell,15,0.022388059701492536
12,python ruby,14,0.020895522388059702
13,c perl,14,0.020895522388059702
14,c++ objective-c,14,0.020895522388059702
15,objective-c perl,14,0.020895522388059702
16,c python,13,0.019402985074626865
17,javascript ruby,13,0.019402985074626865
18,objective-c perl shell,12,0.01791044776119403
19,javascript python,12,0.01791044776119403
20,c javascript shell,11,0.016417910447761194
21,c++ perl,11,0.016417910447761194
22,perl python,11,0.016417910447761194
23,c++ objective-c shell,11,0.016417910447761194
24,c++ javascript,11,0.016417910447761194
25,c++ perl shell,10,0.014925373134328358
26,c c++ shell,9,0.013432835820895522
27,c++ python,9,0.013432835820895522
28,c perl shell,9,0.013432835820895522
29,c++ objective-c perl,9,0.013432835820895522
30,perl python shell,9,0.013432835820895522
31,assembly shell,9,0.013432835820895522
32,assembly objective-c,9,0.013432835820895522
33,c ruby,8,0.011940298507462687
34,objective-c python,8,0.011940298507462687
35,c python shell,8,0.011940298507462687
36,c++ objective-c perl shell,8,0.011940298507462687
37,javascript objective-c,8,0.011940298507462687
38,assembly c++,8,0.011940298507462687
39,assembly perl,8,0.011940298507462687
40,c++ javascript shell,8,0.011940298507462687
41,java python,8,0.011940298507462687
42,coffeescript javascript,8,0.011940298507462687
43,php python,7,0.010447761194029851
44,php shell,7,0.010447761194029851
45,python ruby shell,7,0.010447761194029851
46,perl racket,7,0.010447761194029851
47,c objective-c perl,7,0.010447761194029851
48,c objective-c shell,7,0.010447761194029851
49,c++ python shell,7,0.010447761194029851
50,assembly c++ shell,7,0.010447761194029851
51,perl ruby,7,0.0
52,perl ruby shell,7,0.0
53,javascript python shell,7,0.0
54,java shell,7,0.0
55,javascript ruby shell,7,0.0
56,c++ lua,7,0.0
57,assembly objective-c shell,7,0.0
58,php python shell,6,0.0
59,c javascript perl,6,0.0
60,objective-c python shell,6,0.0
61,c++ javascript objective-c,6,0.0
62,c java,6,0.0
63,java javascript,6,0.0
64,assembly perl shell,6,0.0
65,lua shell,6,0.0
66,java ruby,6,0.0
67,assembly objective-c perl,6,0.0
68,assembly c++ objective-c,6,0.0
69,javascript objective-c shell,6,0.0
70,racket shell,5,0.0
71,c perl python,5,0.0
72,c++ objective-c python,5,0.0
73,objective-c perl python,5,0.0
74,perl racket shell,5,0.0
75,c objective-c perl shell,5,0.0
76,c++ objective-c python shell,5,0.0
77,coffeescript ruby,5,0.0
78,assembly python,5,0.0
79,rust shell,5,0.0
80,assembly c++ perl,5,0.0
81,assembly c++ python,5,0.0
82,assembly python shell,5,0.0
83,assembly c++ python shell,5,0.0
84,javascript perl python,5,0.0
85,asp shell,5,0.0
86,c c++ javascript,5,0.0
87,c++ javascript perl,5,0.0
88,c javascript perl shell,5,0.0
89,c++ javascript perl shell,5,0.0
90,c++ ruby,5,0.0
91,assembly c,5,0.0
92,assembly javascript,5,0.0
93,c++ lua shell,5,0.0
94,assembly objective-c perl shell,5,0.0
95,assembly c++ objective-c shell,5,0.0
96,javascript perl ruby,5,0.0
97,javascript perl ruby shell,5,0.0
98,actionscript shell,5,0.0
99,c++ javascript objective-c shell,5,0.0
100,javascript objective-c perl,5,0.0
101,javascript objective-c perl shell,5,0.0
102,php ruby,4,0.0
103,java objective-c,4,0.0
104,c c++ perl,4,0.0
105,c++ perl python,4,0.0
106,c perl python shell,4,0.0
107,c++ perl python shell,4,0.0
108,objective-c perl python shell,4,0.0
109,c++ javascript python,4,0.0
110,emacs lisp shell,4,0.0
111,perl rust,4,0.0
112,perl rust shell,4,0.0
113,assembly c++ perl shell,4,0.0
114,shell visual basic,4,0.0
115,c c++ javascript shell,4,0.0
116,prolog shell,4,0.0
117,assembly c++ javascript,4,0.0
118,assembly javascript shell,4,0.0
119,assembly c++ javascript shell,4,0.0
120,javascript racket,4,0.0
121,javascript perl racket,4,0.0
122,javascript perl python shell,4,0.0
123,lua objective-c,4,0.0
124,c++ lua objective-c,4,0.0
125,coffeescript shell,4,0.0
126,assembly c++ objective-c perl,4,0.0
127,assembly objective-c python,4,0.0
128,javascript objective-c python,4,0.0
129,assembly c++ objective-c python,4,0.0
130,assembly objective-c python shell,4,0.0
131,javascript objective-c python shell,4,0.0
132,assembly c++ objective-c python shell,4,0.0
133,c++ javascript objective-c perl,4,0.0
134,c++ javascript objective-c perl shell,4,0.0
135,java python ruby,4,0.0
136,php python ruby,3,0.0
137,php ruby shell,3,0.0
138,php python ruby shell,3,0.0
139,c c++ objective-c,3,0.0
140,c objective-c python,3,0.0
141,c c++ objective-c perl,3,0.0
142,c c++ perl shell,3,0.0
143,c objective-c perl python,3,0.0
144,c++ objective-c perl python,3,0.0
145,c++ objective-c perl python shell,3,0.0
146,javascript vim script,3,0.0
147,c++ rust,3,0.0
148,emacs lisp perl,3,0.0
149,python rust,3,0.0
150,assembly perl python,3,0.0
151,c++ perl rust,3,0.0
152,c++ rust shell,3,0.0
153,emacs lisp perl shell,3,0.0
154,python rust shell,3,0.0
155,assembly c++ perl python,3,0.0
156,assembly perl python shell,3,0.0
157,c++ perl rust shell,3,0.0
158,assembly c++ perl python shell,3,0.0
159,javascript php,3,0.0
160,perl php,3,0.0
161,perl php python,3,0.0
162,asp javascript,3,0.0
163,c rust,3,0.0
164,c++ visual basic,3,0.0
165,asp javascript shell,3,0.0
166,c rust shell,3,0.0
167,c++ shell visual basic,3,0.0
168,c prolog,3,0.0
169,c php,3,0.0
170,c php shell,3,0.0
171,c c#,3,0.0
172,c d,3,0.0
173,c# python,3,0.0
174,c# shell,3,0.0
175,javascript racket shell,3,0.0
176,javascript perl racket shell,3,0.0
177,c javascript python,3,0.0
178,lua objective-c shell,3,0.0
179,c++ lua objective-c shell,3,0.0
180,c java ruby,3,0.0
181,c ruby shell,3,0.0
182,assembly c objective-c,3,0.0
183,assembly c perl,3,0.0
