cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
mobile android plain,14,0,0,['css javascript'],0
debugger blink developer,2,0,0,['python shell'],0
lightweight polyfill width medium query,15,0,0,['css html'],0
filter magical layout,19,0,0,['css javascript'],0
ultra android support,14,0,0,['python shell'],0
colour dayle,15,0,0,['css php'],0
runtime,33,0,0,['c javascript'],0
online communication,2,0,0,['python shell'],0
uiviewcontroller subclass input,19,0,0,['ruby shell'],0
multiple upload plugin image azure image,2,0,0,['css html'],0
module loader,15,0,0,['css html'],0
router,27,0,0,['css html'],0
chaos monkey resiliency application tolerate random instance failure,15,0,0,['makefile shell'],0
super smooth transformation,15,0,0,['css html'],0
growth engineering,19,0,0,['makefile python'],0
transition number source,3,0,0,['html ruby'],0
objective block utility,15,0,0,['makefile ruby'],0
website design simpler,19,0,0,['ruby shell'],0
library sheet,1,0,0,['css html'],0
component event framework,8,0,0,['makefile shell'],0
simple micro library keyboard shortcut,19,0,0,['html makefile'],0
mobile uedui,14,0,0,['css html'],0
selection suite,2,0,0,['css html'],0
physical,36,0,0,['python shell'],0
native,43,0,0,['java python'],0
harmonization arxiv,15,0,0,['python shell'],0
source dashboard builder mashups source,3,0,0,['css html'],0
model controller framework dynamic clean separation razor project github,15,0,0,['css javascript'],0
terminal emulator client,19,0,0,['python shell'],0
minecraft dockercraft,15,0,0,['makefile shell'],0
vintage twitter bootstrap theme,24,0,0,['python shell'],0
jquery theme twitter bootstrap,24,0,0,['css javascript'],0
apollo graphql client,19,0,0,['css javascript'],0
instant,28,0,0,['python shell'],0
xcode plugin keybindings,2,0,0,['makefile ruby'],0
event android support,15,0,0,['css html'],0
persistent websocket siphon cooky raspberry,19,0,0,['html shell'],0
website instant,28,0,0,['css html'],0
source beautification,3,0,0,['c shell'],0
functional website,19,0,0,['css html'],0
library instagram filter,1,0,0,['css javascript'],0
proxy software great firewall,15,0,0,['css javascript'],0
beautiful wysiwyg editor,15,0,0,['css javascript'],0
small framework small,6,0,0,['ruby shell'],0
precision,20,0,0,['makefile python'],0
technique comparison,26,0,0,['css html'],0
model support,15,0,0,['html python'],0
blackbird bitcoin arbitrage neutral strategy,15,0,0,['makefile shell'],0
machine learning package,15,0,0,['java shell'],0
language intellij platform,2,0,0,['html shell'],0
sound audio reliable cross browser platform audio control,15,0,0,['css html'],0
controller container,15,0,0,['ruby shell'],0
lightweight library dependency,1,0,0,['css html'],0
unobtrusive transition,17,0,0,['html javascript'],0
polyfill,46,0,0,['css html'],0
beautiful framework,6,0,0,['css html'],0
dependency library,1,0,0,['css html'],0
vagrant,45,0,0,['java python'],0
traffic control simulate network condition,15,0,0,['css javascript'],0
progressive chart,2,0,0,['makefile ruby'],0
simple static generator,44,0,0,['css javascript'],0
growl style alert hubspot source,15,0,0,['css html'],0
objective apple style documentation,15,0,0,['css javascript'],0
reference visual popular property,15,0,0,['css javascript'],0
socket,11,0,0,['css html'],0
responsive layout toolkit,19,0,0,['html javascript'],0
science,2,0,0,['python shell'],0
enterprise stream process engine,7,0,0,['python shell'],0
unofficial bilibili client,19,0,0,['css javascript'],0
karabiner keyremapmacbook powerful utility keyboard customization,15,0,0,['makefile shell'],0
alibaba group fetch document,15,0,0,['makefile shell'],0
github,42,0,0,['css html'],0
stochastic flame graph profiler,15,0,0,['dockerfile shell'],0
scalable socket linux kernel straight linear fastsocket performance multicore machine production environment,15,0,0,['python shell'],0
image dataset,2,0,0,['html shell'],0
comment system github issue,5,0,0,['css html'],0
imitation neteasy,15,0,0,['css ruby'],0
awesome medium query,2,0,0,['css html'],0
cross_platform,23,0,0,['css html'],0
machine learning,15,0,0,['css html'],0
design,19,0,0,['css html'],0
twitter bootstrap,24,0,0,['css makefile'],0
configuration server,2,0,0,['javascript shell'],0
mobile,14,0,0,['c objective-c'],0
roboto family,44,0,0,['makefile shell'],0
mobile framework,6,0,0,['html javascript'],0
simple lightweight responsive slider plugin,15,0,0,['css html'],0
mystical solution,19,0,0,['css javascript'],0
