cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
source release,6,0,0,['c shell'],0
continuous integration server,30,0,0,['javascript shell'],0
future android,7,0,0,['c++ shell'],0
textmate plugin cocoa,45,0,0,['c perl'],0
reverse engineer,33,0,0,['c objective-c'],0
machine learning course,12,0,0,['python shell'],0
iphone objective implementation oauth consumer,12,0,0,['c ruby'],0
classic dhtml engine,12,0,0,['perl shell'],0
iphone tesseract library,12,0,0,['c shell'],0
application skeleton backbone socket,12,0,0,['ruby shell'],0
arduino development arduino physcial,12,0,0,['c c++'],0
server readability,47,0,0,['ruby shell'],0
application opencv library,12,0,0,['c shell'],0
objective interactive regular expression validator,12,0,0,['c java'],0
server cloudera hadoop distribution,0,0,0,['python shell'],0
service remote service,41,0,0,['c ruby'],0
yahoo topic latent dirichlet allocation,12,0,0,['javascript shell'],0
desktop hardware,16,0,0,['c python'],0
sudoku solver capability memory reference change,12,0,0,['c c++'],0
plugin integration ckeditor,10,0,0,['php ruby'],0
flask,25,0,0,['coffeescript javascript'],0
sends skeleton information kinect sensor input protocol,12,0,0,['c c++'],0
scrumdo agile story,12,0,0,['javascript shell'],0
revision check group google,12,0,0,['javascript ruby'],0
appcelerator titanium desktop,12,0,0,['c perl'],0
cucumber support,5,0,0,['javascript ruby'],0
government platform github management system,12,0,0,['javascript shell'],0
network packet,38,0,0,['c shell'],0
imagemagick library,35,0,0,['perl shell'],0
animation library transforms,12,0,0,['ruby shell'],0
boilerplate setup engine boilerplate,12,0,0,['python shell'],0
interop framework,10,0,0,['c shell'],0
historical repository,48,0,0,['javascript shell'],0
social network framework powerful social medium portal empower enhance collaboration twitter status message track activity stream custom client social enginey restful facebook credential recent addition content management project update twitter engineyfw,12,0,0,['javascript shell'],0
integration server,30,0,0,['javascript shell'],0
opencv,31,0,0,['c ruby'],0
application template crashreporter custom localization awesome stuff,9,0,0,['c shell'],0
debug,14,0,0,['c shell'],0
sample echoprint identifier,12,0,0,['c c++'],0
mobile cross platform framework,10,0,0,['php shell'],0
,12,0,0,['ruby shell'],0
runtime,22,0,0,['javascript shell'],0
mongodb binding,4,0,0,['javascript shell'],0
specific layer arduino shield,12,0,0,['c++ java'],0
railsconf tutorial,43,0,0,['javascript ruby'],0
compiler,2,0,0,['javascript shell'],0
sample cocosd,12,0,0,['c shell'],0
server setup,47,0,0,['python shell'],0
language,1,0,0,['python shell'],0
luajit,27,0,0,['perl shell'],0
opengles binding webgl,4,0,0,['c c++'],0
plugin oauth application,9,0,0,['java javascript'],0
google engine,46,0,0,['javascript shell'],0
iphone store,43,0,0,['c ruby'],0
objective framework repository,10,0,0,['c ruby'],0
compiler,2,0,0,['coffeescript javascript'],0
github repository github,42,0,0,['php ruby'],0
framework,34,0,0,['javascript ruby'],0
