id,language_dictionary,total_bytes_written,language_distribution,all_languages,main_language,languages_used,language_combinations,owner_type,open_issues,stars,watchers,forks,size,topics,description
425,{'javascript': 9251},9251,{'javascript': 1.0},['javascript'],javascript,1,[],User,29,1968,70,422,1174,[],facebook style built in jquery
291056,"{'ruby': 1226790, 'javascript': 221588, 'shell': 1199}",1449577,"{'ruby': 0.8463089577166304, 'javascript': 0.15286390443556983, 'shell': 0.0008271378477997375}","['ruby', 'javascript', 'shell']",ruby,3,['javascript shell'],Organization,15,1887,116,443,43545,[],this is the legacy version of teambox the award winning collaboration inspired by yammer and twitter
4223858,{'objective-c': 114831},114831,{'objective-c': 1.0},['objective-c'],objective-c,1,[],User,17,1861,89,250,249,[],easily add custom folding and page flipping transitions to uiviews and uiviewcontrollers
2557230,{'javascript': 12505},12505,{'javascript': 1.0},['javascript'],javascript,1,[],Organization,5,1838,59,130,20021,[],unmaintained small components for building manipulating and automating a distributed infrastructure
1714530,{'java': 69714},69714,{'java': 1.0},['java'],java,1,[],User,49,1812,192,732,1062,[],a horizontal view scroller library for android
761438,"{'objective-c': 433841, 'c': 198890, 'javascript': 69207, 'css': 8946}",710884,"{'objective-c': 0.6102838156436212, 'c': 0.2797784167318437, 'javascript': 0.09735343600362366, 'css': 0.012584331620911429}","['objective-c', 'c', 'javascript', 'css']",objective-c,4,['css javascript'],User,172,1573,104,413,26224,[],the html ebook framework to publish interactive books magazines on ipad iphone using simply open web standards
3432848,"{'php': 166382, 'javascript': 38705, 'shell': 317}",205404,"{'php': 0.8100231738427685, 'javascript': 0.18843352612412612, 'shell': 0.0015433000331054898}","['php', 'javascript', 'shell']",php,3,['javascript shell'],User,11,1561,103,524,1236,[],sample application built with backbone js and  different ui toolkits twitter jquery and custom iphone skins
6270574,"{'css': 14222, 'javascript': 13715}",27937,"{'css': 0.5090739879013495, 'javascript': 0.49092601209865055}","['css', 'javascript']",css,2,[],User,5,1523,124,365,159,[],css d dropdown concept
5153205,{'javascript': 6179},6179,{'javascript': 1.0},['javascript'],javascript,1,[],Organization,31,1485,152,289,3737,[],an abstraction layer for webrtc aim is to simplify the html web standard webrtc in a similar manner to socket io w and websockets highly experimental technology
3806475,"{'ruby': 27162, 'javascript': 4880}",32042,"{'ruby': 0.8476998938892704, 'javascript': 0.15230010611072967}","['ruby', 'javascript']",ruby,2,[],User,16,1422,53,284,6434,[],deprecated see natew and obtvse
1802145,"{'objective-c': 50692, 'ruby': 704}",51396,"{'objective-c': 0.9863024359872363, 'ruby': 0.01369756401276364}","['objective-c', 'ruby']",objective-c,2,[],User,23,1364,50,201,603,[],a uiswitch like segmented control for your ios app
1602291,"{'ruby': 168761, 'shell': 6040}",174801,"{'ruby': 0.9654464219312247, 'shell': 0.03455357806877535}","['ruby', 'shell']",ruby,2,[],Organization,0,1346,100,377,965024,[],cloud foundry the open platform as a service project
10632915,"{'objective-c': 44029, 'ruby': 605}",44634,"{'objective-c': 0.9864453107496527, 'ruby': 0.013554689250347269}","['objective-c', 'ruby']",objective-c,2,[],User,22,1313,75,205,1327,[],a grid menu with elastic depth of and realistic animation
2022916,"{'java': 286464, 'groovy': 5016}",291480,"{'java': 0.982791272128448, 'groovy': 0.01720872787155208}","['java', 'groovy']",java,2,[],User,35,1312,127,303,3819,[],kick starts android application development
6778210,"{'javascript': 115299, 'css': 6011}",121310,"{'javascript': 0.9504492622207568, 'css': 0.04955073777924326}","['javascript', 'css']",javascript,2,[],User,39,1302,53,368,674,[],adds support for background size cover and contain to ie
2238384,{'objective-c': 9913},9913,{'objective-c': 1.0},['objective-c'],objective-c,1,[],User,11,1263,72,243,152,[],brings back the unique identifier support under ios it uses the device s mac address in combination with the bundle identifier to generate a new hashed unique identifier
6422710,{'python': 4878},4878,{'python': 1.0},['python'],python,1,[],User,2,1202,157,236,333,[],a simple python tool to pinpoint the ip addresses of machines working for the great firewall of china
1040700,"{'javascript': 1256568, 'python': 300682, 'css': 1179}",1558429,"{'javascript': 0.8063042974687971, 'python': 0.19293917143482314, 'css': 0.0007565310963797517}","['javascript', 'python', 'css']",javascript,3,['css python'],User,11,1188,170,507,2016,[],the official online compendium for mining the social web o 
3685302,"{'javascript': 1980504, 'css': 57075, 'xslt': 37119}",2074698,"{'javascript': 0.9545986934001961, 'css': 0.027510027965515944, 'xslt': 0.01789127863428798}","['javascript', 'css', 'xslt']",javascript,3,[],Organization,3,1158,210,380,17095,[],jx javascript extension tools alloyteam web   web app
365777,"{'java': 265607, 'javascript': 209086}",474693,"{'java': 0.5595342674107265, 'javascript': 0.44046573258927346}","['java', 'javascript']",java,2,[],User,1,1158,114,849,3006,[],source code to busy coder s guide to android
