cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
legacy version,40,0,0,['javascript shell'],0
ebook framework publish interactive magazine iphone standard,13,0,0,['css javascript'],0
sample application backbone different toolkits twitter jquery custom iphone,21,0,0,['javascript shell'],0
official online compendium social,13,0,0,['css python'],0
fossasia drupal,14,0,0,['python shell'],0
fossasia drupal,14,0,0,['python shell'],0
source repository,20,0,0,['javascript shell'],0
microsoft kinect,47,0,0,['javascript shell'],0
source mobile,5,0,0,['javascript ruby'],0
source implementation bitcoin miner xilinx fpgas bitcoin project binary release project numerous board,13,0,0,['python shell'],0
chrome,33,0,0,['python shell'],0
headless webkit integration great alternative,13,0,0,['javascript shell'],0
submit issue github project,13,0,0,['javascript shell'],0
script application,20,0,0,['c++ perl'],0
saxophone audio layer decoder,13,0,0,['css ruby'],0
github,7,0,0,['javascript python'],0
application server spawn hardware,21,0,0,['css shell'],0
powerful android application,3,0,0,['javascript shell'],0
extension,11,0,0,['javascript python'],0
standard color handy category,13,0,0,['c ruby'],0
element boostrap toolkit ember,13,0,0,['javascript ruby'],0
party extension cocosd iphone,13,0,0,['c shell'],0
csscomb,23,0,0,['css javascript'],0
container orchestration docker environment,13,0,0,['css javascript'],0
simple editing google engine,10,0,0,['c javascript'],0
project modular backbone environment backbone ambiguous nature,13,0,0,['css shell'],0
source engine,10,0,0,['ruby shell'],0
legacy openframeworks wrapper kinect,13,0,0,['c++ shell'],0
source application,20,0,0,['python ruby'],0
delicious,6,0,0,['css ruby'],0
embeddable server objective,21,0,0,['javascript ruby'],0
backbone stack boilerplate,21,0,0,['ruby shell'],0
scalable infrastructure,28,0,0,['python shell'],0
johnson embrace,34,0,0,['c++ javascript'],0
objective library,4,0,0,['ruby shell'],0
plugin application debug,20,0,0,['ruby shell'],0
unsupported android videokit basic ffmpeg android request,3,0,0,['java shell'],0
svbtle style kudos,13,0,0,['coffeescript javascript'],0
parser class error,13,0,0,['javascript ruby'],0
android plugin,3,0,0,['java shell'],0
cowboy websocket,21,0,0,['python shell'],0
webkit binding,1,0,0,['css python'],0
linux,35,0,0,['c++ shell'],0
linux kernel linus torvalds,21,0,0,['assembly c++'],0
analytics engine nosql,13,0,0,['ruby shell'],0
transaction democratizes monetary action cashier transaction strong crypto malicious server receipt history repudiable,21,0,0,['perl python'],0
objective,4,0,0,['javascript python'],0
example,39,0,0,['ruby shell'],0
algorithm,31,0,0,['c objective-c'],0
client,29,0,0,['javascript python'],0
office,12,0,0,['javascript python'],0
unobtrusive optimize webpage,21,0,0,['javascript shell'],0
primesensor module,21,0,0,['python shell'],0
submit patch dojotoolkit,21,0,0,['php shell'],0
distribution,24,0,0,['c shell'],0
unofficial whatsapp client,13,0,0,['javascript perl'],0
chinese translation tutorial,21,0,0,['python shell'],0
awesome front starter,21,0,0,['javascript ruby'],0
google mirror quickstart,13,0,0,['css javascript'],0
simple utility profile allocation garbage collection activity,21,0,0,['java shell'],0
sophisticated bitcoin,21,0,0,['css shell'],0
plugin angular twitter bootstrap awesome,21,0,0,['coffeescript ruby'],0
nrepl server,21,0,0,['ruby shell'],0
source teaching material github technology,13,0,0,['python shell'],0
eloquentjavascript,48,0,0,['css shell'],0
android tutorial source,3,0,0,['c++ perl'],0
toolkit projector camera calibration,13,0,0,['c objective-c'],0
markdown notebook,13,0,0,['ruby shell'],0
system engineering,21,0,0,['python shell'],0
sparrow scheduling platform berkeley,21,0,0,['perl shell'],0
stack light library purpose,21,0,0,['css shell'],0
roslyn project,13,0,0,['css javascript'],0
offical github,7,0,0,['ruby shell'],0
various window credential,13,0,0,['c++ objective-c'],0
application internet connection wireless network,3,0,0,['c++ shell'],0
retro multiplayer shooter,46,0,0,['python shell'],0
source remote administrator,13,0,0,['c shell'],0
firewall target device local network,21,0,0,['c++ objective-c'],0
restful google engine,10,0,0,['python ruby'],0
macruby gmail notifier,13,0,0,['c ruby'],0
complete compiler,13,0,0,['c++ shell'],0
signature,36,0,0,['c ruby'],0
cloud foundry,21,0,0,['javascript shell'],0
article tympanus medium style transition,13,0,0,['javascript ruby'],0
loyal retriever development database,13,0,0,['coffeescript ruby'],0
reality framework visual,46,0,0,['c++ objective-c'],0
simple framework,22,0,0,['javascript shell'],0
condition simple automatic valgrind,21,0,0,['c++ python'],0
useful objective class,4,0,0,['c c++'],0
front,17,0,0,['css shell'],0
geospatial database,13,0,0,['ruby shell'],0
window framework,22,0,0,['c shell'],0
official,19,0,0,['javascript shell'],0
rawson previewer,21,0,0,['c python'],0
unofficial mirror hardware video iphone server example,13,0,0,['c++ shell'],0
cocoa framework,22,0,0,['python shell'],0
chinese segmentation package algorithm,13,0,0,['python shell'],0
source application,20,0,0,['python ruby'],0
knight academy,21,0,0,['c shell'],0
magento theme package bolierplate irish creative,13,0,0,['php shell'],0
libjingle clone original local patch,13,0,0,['c shell'],0
kademlia,27,0,0,['css ruby'],0
generation library,29,0,0,['c perl'],0
couchdb compatible mobile database android version,13,0,0,['c c++'],0
nginx repository,21,0,0,['c++ shell'],0
maintainer oauth authorization server module,21,0,0,['css javascript'],0
mobile report downloader,13,0,0,['c perl'],0
genesis texas server,21,0,0,['ruby shell'],0
client library,29,0,0,['python shell'],0
complete iphone virtual reality artoolkit detect marker video frame overlay object,13,0,0,['javascript python'],0
nslog replacement,21,0,0,['css shell'],0
firmware googlecode,21,0,0,['python shell'],0
unofficial mirror official version github,13,0,0,['javascript shell'],0
laravel framework,46,0,0,['php shell'],0
zezeski,0,0,0,['python shell'],0
voice recorder sample,13,0,0,['c++ shell'],0
source medium streamer jukebox subsonic support streamable audio video format,13,0,0,['javascript shell'],0
interface github,7,0,0,['javascript shell'],0
example artificial intelligence,21,0,0,['perl ruby'],0
optmize,37,0,0,['java shell'],0
fundamental training material,21,0,0,['javascript ruby'],0
image viewer,26,0,0,['c++ perl'],0
technical paper gpustore,21,0,0,['javascript shell'],0
state machine library objective,21,0,0,['c ruby'],0
irradiance volume,13,0,0,['ruby shell'],0
color picker controller brightness color,21,0,0,['c objective-c'],0
concurrency,16,0,0,['c++ ruby'],0
graphical performance,45,0,0,['coffeescript ruby'],0
django nonrel,9,0,0,['javascript shell'],0
jsbeautifier,15,0,0,['coffeescript ruby'],0
mobile,5,0,0,['javascript shell'],0
cassandra cluster browser,13,0,0,['javascript objective-c'],0
display hierarchical,49,0,0,['coffeescript javascript'],0
framework customizable content range mobile device strength customizable system adapt content mobile device early generation smart modern device,21,0,0,['javascript shell'],0
primer programmer,21,0,0,['c shell'],0
graphdb opensource graph database,13,0,0,['javascript shell'],0
library remote control vibrator,21,0,0,['c c++'],0
digsby social network,3,0,0,['javascript shell'],0
metacircular interpreter,44,0,0,['css javascript'],0
server getwork,21,0,0,['python shell'],0
django,9,0,0,['python shell'],0
communication dashboard support multiple group communication hashtag support facebook profile,13,0,0,['ruby shell'],0
hadoop aggregator,21,0,0,['javascript shell'],0
framework social network account,21,0,0,['perl ruby'],0
callback kepler pollen planet,13,0,0,['c shell'],0
centric vimfiles,21,0,0,['ruby shell'],0
miner official source,13,0,0,['c++ shell'],0
,21,0,0,['css javascript'],0
intel software occlusion,13,0,0,['c shell'],0
flask skeleton google boilerplate,13,0,0,['c javascript'],0
software transactional memory implementation,38,0,0,['css shell'],0
toolbox,32,0,0,['c++ objective-c'],0
driver virtio network device virtio network device virtual network device virtualbox,21,0,0,['c shell'],0
friendly backend,21,0,0,['ruby shell'],0
framwork mobile,5,0,0,['css ruby'],0
chart library,21,0,0,['c c++'],0
source server static content,21,0,0,['c++ shell'],0
chromium project,13,0,0,['python shell'],0
experimental unifont,46,0,0,['c++ shell'],0
sample,25,0,0,['c++ perl'],0
initial concept phpspec,2,0,0,['javascript ruby'],0
application rocketship,20,0,0,['css javascript'],0
technical candidate,21,0,0,['css javascript'],0
standalone command compatible,21,0,0,['ruby shell'],0
organisation,13,0,0,['css javascript'],0
junkyard jumbotron random display large virtual display browser,13,0,0,['python shell'],0
software,38,0,0,['perl shell'],0
brisk distribution,24,0,0,['javascript shell'],0
virtual universe browser,13,0,0,['css javascript'],0
collection utility library,21,0,0,['objective-c python'],0
source virtual machine,13,0,0,['javascript shell'],0
manycore virtual machine,13,0,0,['javascript shell'],0
benchmark implementation,38,0,0,['javascript shell'],0
engine,30,0,0,['javascript shell'],0
level utility level engine,21,0,0,['python shell'],0
sandbox library libsandbox pysandbox source suite software component developer watchdog program simple single process behavioral resource,13,0,0,['python shell'],0
example application jquery fileupload paperclip upload,21,0,0,['coffeescript javascript'],0
engine kneath documentation,21,0,0,['css ruby'],0
knight outcast,21,0,0,['c shell'],0
underscore objective,4,0,0,['c ruby'],0
online reader,13,0,0,['python shell'],0
performance store,45,0,0,['php shell'],0
mysql database binding,13,0,0,['javascript python'],0
