cluster_topic,cluster_topic_id,topic,topic_id,language,language_id
source cloud desktop,2,0,0,['css html'],0
modern terminal emulator,13,0,0,['css html'],0
front template modern mobile,13,0,0,['css html'],0
helium,13,0,0,['css html'],0
phison custom firmware firmware patch badusb,26,0,0,['c shell'],0
responsive animation framework,12,0,0,['css html'],0
input skeuomorphic interface,13,0,0,['css html'],0
source version google container linux application container,13,0,0,['makefile shell'],0
apache nutch crawl semantic annotation,33,0,0,['html shell'],0
github,35,0,0,['makefile shell'],0
native additional opportunity setup controller sheet,8,0,0,['c ruby'],0
personal dashboard,13,0,0,['css html'],0
front,16,0,0,['css html'],0
endless possiblities,33,0,0,['css javascript'],0
large collection issue hhsnopek github,33,0,0,['css html'],0
format public,13,0,0,['javascript ruby'],0
single large scale application useful resource,13,0,0,['css html'],0
standard native platform,8,0,0,['css javascript'],0
source implementation,17,0,0,['c ruby'],0
progress library presentation quality diagram,23,0,0,['html shell'],0
convergence,8,0,0,['makefile shell'],0
value,22,0,0,['c ruby'],0
downtime restarts,13,0,0,['c c++'],0
custom event,26,0,0,['css shell'],0
client,11,0,0,['css html'],0
technology objective runtime compiler infrastructure framework,33,0,0,['c shell'],0
library library module framework,9,0,0,['html makefile'],0
mitro client server,13,0,0,['css javascript'],0
mobile theme,13,0,0,['html javascript'],0
source status dashboard engine,2,0,0,['css javascript'],0
complete unofficial history release request proper submit change development,13,0,0,['html ruby'],0
wordpress admin theme,13,0,0,['css javascript'],0
internet freedom,13,0,0,['makefile shell'],0
series,41,0,0,['html javascript'],0
automation raspberry,36,0,0,['css html'],0
library narrative,9,0,0,['html javascript'],0
pretty debugger,33,0,0,['css html'],0
point click browser,13,0,0,['css html'],0
calendar component,3,0,0,['python shell'],0
toolkit,40,0,0,['css html'],0
mongohub native version,8,0,0,['c shell'],0
spiritual successor,33,0,0,['html javascript'],0
frontend,26,0,0,['css html'],0
fossasia community,33,0,0,['css html'],0
facebook custom animation tweaner google tweaner mmtweaneranimation custom animation,26,0,0,['c ruby'],0
flash library flash gravity fathom primary function useful class object,23,0,0,['python shell'],0
query selector engine,23,0,0,['javascript makefile'],0
graphite dashboard,13,0,0,['css html'],0
declarative wireframes technology request,33,0,0,['css html'],0
manage content,33,0,0,['css html'],0
custom animation,26,0,0,['c ruby'],0
cheap content management,33,0,0,['css javascript'],0
github ember,35,0,0,['css html'],0
editor toolbar,7,0,0,['css html'],0
github,35,0,0,['makefile shell'],0
responsive fluid layout,33,0,0,['javascript ruby'],0
change chrome developer,23,0,0,['css html'],0
linux configuration,46,0,0,['css python'],0
download github,35,0,0,['css javascript'],0
application,4,0,0,['css html'],0
android phone surveillance camera,13,0,0,['css javascript'],0
application framework,12,0,0,['ruby shell'],0
meteor,7,0,0,['css html'],0
digital,20,0,0,['css html'],0
pixel editor,7,0,0,['coffeescript css'],0
gecko,33,0,0,['c c++'],0
simple language parsley powerful selector language structure,23,0,0,['c++ ruby'],0
easiest share animation priceless,33,0,0,['html javascript'],0
raspberry pwnie express,33,0,0,['makefile shell'],0
music player,13,0,0,['c ruby'],0
plugin control radical typography,23,0,0,['css html'],0
field credit input credit entry process,33,0,0,['css html'],0
extra stuff,13,0,0,['html shell'],0
google voice,31,0,0,['css html'],0
jquery fileapi jquery plugin fileapi image resize,23,0,0,['css html'],0
elastic effect dribbble download,13,0,0,['css html'],0
installer smart package manager,33,0,0,['ruby shell'],0
image loader animation michael villar,33,0,0,['c ruby'],0
simple backbone,23,0,0,['css html'],0
framework protocol,12,0,0,['python shell'],0
abstract visualization biological neural network,33,0,0,['css html'],0
lightweight library,9,0,0,['css html'],0
dependency injection framework future generation,23,0,0,['css html'],0
desktop editor,7,0,0,['css html'],0
inspection,13,0,0,['css javascript'],0
useful routine extension,13,0,0,['c++ ruby'],0
event server,6,0,0,['css javascript'],0
couchdb compatible mobile database objective version,23,0,0,['c shell'],0
snooze,39,0,0,['css html'],0
rowhammer problem,33,0,0,['python shell'],0
integration,6,0,0,['c ruby'],0
bitcoin wallet service,13,0,0,['css html'],0
archive conference,33,0,0,['css java'],0
raspberry,36,0,0,['makefile shell'],0
compass designer compile stylesheets command interface,33,0,0,['css html'],0
console apache kafka,13,0,0,['html javascript'],0
human feeder,23,0,0,['css html'],0
experimental password management,13,0,0,['css shell'],0
repository applies original truecrypt source,13,0,0,['makefile shell'],0
window manager,33,0,0,['c++ python'],0
source online version famous board sanguosha,13,0,0,['css html'],0
source lightweight virtualization platform,2,0,0,['makefile shell'],0
expressive class,13,0,0,['html makefile'],0
website possible pitfall,13,0,0,['css html'],0
interactive,21,0,0,['css java'],0
application,4,0,0,['css javascript'],0
webserver library,9,0,0,['c c++'],0
parse rewrite pixel equivalent,13,0,0,['css html'],0
mozilla application template,13,0,0,['css html'],0
knowledge software cakephp framework,23,0,0,['css javascript'],0
github command client github github,35,0,0,['ruby shell'],0
interface,13,0,0,['c ruby'],0
awesome model backbone,23,0,0,['css ruby'],0
jquery plugin presentation,23,0,0,['css html'],0
neural,32,0,0,['python shell'],0
continuous integration server,6,0,0,['css html'],0
soundcloud custom,26,0,0,['css html'],0
firefox toolbar,5,0,0,['css shell'],0
client search server,13,0,0,['html javascript'],0
server,6,0,0,['html shell'],0
pidgin plugin excellent useful library webqq protocol,23,0,0,['javascript shell'],0
zepto plugin emulate smith placeholder,23,0,0,['css html'],0
source photography community source,2,0,0,['css html'],0
sample press,13,0,0,['css html'],0
component pulsar pipeline,3,0,0,['css html'],0
google convnet,31,0,0,['makefile shell'],0
connection,45,0,0,['css javascript'],0
